UID,USER_ID,TRANSACTION_TIME,TRANSACTION_TYPE,AMOUNT
0,115,2021-01-05 15:23:59,Organic,3900
0,240,2021-01-05 17:07:47,Organic,6100
0,2467,2021-01-06 20:10:30,Transaction_promo,10400
0,2717,2021-01-06 20:26:18,Transaction_promo,5000
0,6369,2021-01-07 20:13:04,Organic,4000
0,3241,2021-01-08 16:10:54,Transaction_promo,6100
0,2270,2021-01-08 10:05:27,Organic,800
0,3241,2021-01-08 11:06:03,Organic,3300
0,5976,2021-01-08 11:30:46,Organic,1400
0,5709,2021-01-09 19:13:03,Transaction_promo,4100
0,2023,2021-01-09 07:30:55,Organic,10900
0,5434,2021-01-09 23:00:55,Organic,3300
0,8498,2021-01-10 13:20:57,Transaction_promo,7300
0,2467,2021-01-10 13:22:42,Transaction_promo,6400
0,5709,2021-01-10 13:15:48,Transaction_promo,4100
0,5976,2021-01-10 14:29:24,Organic,2000
0,8976,2021-01-11 10:13:57,Transaction_promo,3100
0,1875,2021-01-11 10:06:43,Transaction_promo,15300
0,4141,2021-01-11 10:18:31,Transaction_promo,6800
0,5793,2021-01-11 09:21:17,Transaction_promo,4100
0,1186,2021-01-11 09:21:24,Transaction_promo,11800
0,8655,2021-01-11 20:27:47,Organic,1700
0,7296,2021-01-11 07:04:17,Organic,4800
0,4141,2021-01-12 15:18:00,Transaction_promo,6100
0,6909,2021-01-12 14:10:42,Transaction_promo,8800
0,1099,2021-01-12 14:09:11,Transaction_promo,6000
0,5665,2021-01-12 14:10:27,Transaction_promo,3300
0,6728,2021-01-12 20:15:48,Transaction_promo,5500
0,6614,2021-01-12 20:17:44,Transaction_promo,2900
0,354,2021-01-12 21:16:57,Transaction_promo,2000
0,5497,2021-01-12 21:16:44,Transaction_promo,4800
0,4642,2021-01-12 20:26:51,Transaction_promo,7900
0,7406,2021-01-12 21:30:19,Transaction_promo,8700
0,7207,2021-01-12 10:08:30,Organic,3100
0,5665,2021-01-12 11:19:07,Organic,4000
0,8976,2021-01-13 18:00:58,Organic,2000
0,1719,2021-01-13 17:09:23,Organic,15200
0,4553,2021-01-13 19:19:45,Organic,1000
0,2717,2021-01-14 15:16:49,Transaction_promo,3600
0,6792,2021-01-14 14:11:40,Transaction_promo,2000
0,7927,2021-01-14 15:28:22,Transaction_promo,7100
0,8635,2021-01-14 15:27:24,Transaction_promo,4100
0,9811,2021-01-14 14:25:51,Transaction_promo,1100
0,3077,2021-01-14 15:28:47,Transaction_promo,6500
0,6076,2021-01-14 14:04:29,Transaction_promo,9700
0,6202,2021-01-14 17:25:41,Organic,5200
0,1893,2021-01-14 17:27:22,Organic,5300
0,4723,2021-01-14 09:07:22,Organic,8700
0,7854,2021-01-14 12:27:53,Organic,4600
0,1742,2021-01-15 10:10:35,Organic,7900
0,1396,2021-01-15 12:16:05,Organic,2400
0,271,2021-01-15 10:18:43,Organic,2200
0,7799,2021-01-15 19:12:30,Organic,7400
0,6868,2021-01-16 10:10:47,Transaction_promo,6200
0,4207,2021-01-16 09:10:16,Transaction_promo,4700
0,5976,2021-01-16 10:29:36,Transaction_promo,1300
0,324,2021-01-16 09:08:55,Transaction_promo,5200
0,3450,2021-01-16 09:03:19,Transaction_promo,5400
0,966,2021-01-16 09:22:23,Transaction_promo,8300
0,354,2021-01-16 14:19:39,Organic,3000
0,31,2021-01-16 12:18:14,Organic,1900
0,4322,2021-01-17 13:04:01,Transaction_promo,4900
0,8503,2021-01-17 13:24:08,Transaction_promo,5900
0,3208,2021-01-17 13:06:51,Transaction_promo,5100
0,3077,2021-01-17 00:01:16,Organic,5000
0,824,2021-01-17 15:24:31,Organic,4500
0,5351,2021-01-17 16:28:56,Organic,5500
0,3141,2021-01-18 16:14:03,Organic,3800
0,3966,2021-01-18 14:08:29,Organic,600
0,8417,2021-01-18 15:01:54,Organic,4300
0,8878,2021-01-18 09:09:12,Organic,2400
0,8837,2021-01-18 17:28:26,Organic,4200
0,5274,2021-01-18 20:07:35,Organic,4800
0,7112,2021-01-18 17:15:56,Organic,9700
0,9619,2021-01-18 16:07:11,Organic,1600
0,4998,2021-01-19 10:13:49,Transaction_promo,8500
0,220,2021-01-19 09:19:02,Transaction_promo,3400
0,1719,2021-01-19 09:12:38,Transaction_promo,10500
0,3146,2021-01-19 10:13:34,Transaction_promo,4700
0,7561,2021-01-19 10:00:34,Transaction_promo,4500
0,5976,2021-01-19 09:08:50,Transaction_promo,1900
0,4436,2021-01-19 10:14:21,Transaction_promo,3000
0,5462,2021-01-19 09:14:52,Transaction_promo,5800
0,271,2021-01-19 09:11:26,Transaction_promo,2200
0,6724,2021-01-19 10:27:06,Transaction_promo,1300
0,8636,2021-01-19 10:00:42,Transaction_promo,1500
0,3347,2021-01-19 09:04:36,Transaction_promo,4900
0,1707,2021-01-19 09:17:44,Transaction_promo,5900
0,3571,2021-01-19 09:24:44,Transaction_promo,8700
0,9667,2021-01-19 10:15:09,Transaction_promo,800
0,3313,2021-01-19 10:21:26,Transaction_promo,10400
0,2270,2021-01-19 12:18:22,Organic,800
0,6275,2021-01-19 14:16:29,Organic,4900
0,6492,2021-01-19 12:21:56,Organic,6600
0,4297,2021-01-19 11:14:57,Organic,8300
0,312,2021-01-19 12:18:11,Organic,4300
0,1477,2021-01-19 07:00:52,Organic,4700
0,4252,2021-01-19 11:10:39,Organic,8100
0,3208,2021-01-19 15:00:12,Organic,8900
0,22,2021-01-19 18:02:37,Organic,1700
0,8622,2021-01-19 22:25:02,Organic,1900
0,1234,2021-01-19 11:26:26,Organic,22200
0,4760,2021-01-19 04:09:31,Organic,9000
0,220,2021-01-20 16:09:20,Transaction_promo,3800
0,8878,2021-01-20 16:11:36,Transaction_promo,1800
0,8503,2021-01-20 17:05:24,Transaction_promo,7500
0,324,2021-01-20 16:09:32,Transaction_promo,7100
0,3341,2021-01-20 17:23:00,Transaction_promo,5400
0,4352,2021-01-20 16:28:43,Transaction_promo,3500
0,7676,2021-01-20 16:26:09,Transaction_promo,5100
0,3120,2021-01-20 17:02:02,Transaction_promo,7900
0,2543,2021-01-20 09:25:14,Organic,6900
0,4459,2021-01-20 12:24:47,Organic,2700
0,4649,2021-01-20 18:11:35,Organic,1700
0,2346,2021-01-20 08:09:44,Organic,6200
0,495,2021-01-20 16:06:24,Organic,4600
0,3141,2021-01-21 16:28:15,Organic,5700
0,3265,2021-01-21 11:18:18,Organic,5600
0,2717,2021-01-21 17:21:24,Organic,5400
0,8417,2021-01-21 16:02:00,Organic,5700
0,2543,2021-01-21 12:11:39,Organic,8100
0,312,2021-01-21 16:23:58,Organic,4600
0,374,2021-01-21 09:00:05,Organic,4600
0,2350,2021-01-21 14:15:14,Organic,4800
0,4932,2021-01-21 15:06:40,Organic,5000
0,7927,2021-01-22 09:20:14,Organic,4700
0,8417,2021-01-22 03:04:14,Organic,3800
0,8842,2021-01-22 08:10:37,Organic,1800
0,2826,2021-01-22 22:02:43,Organic,4600
0,2362,2021-01-22 15:15:23,Organic,1900
0,9875,2021-01-22 08:18:03,Organic,1400
0,6258,2021-01-22 20:16:09,Organic,6200
0,6335,2021-01-22 15:16:53,Organic,6400
0,3390,2021-01-22 15:23:52,Organic,700
0,1875,2021-01-23 16:21:35,Transaction_promo,19900
0,6216,2021-01-23 15:07:14,Transaction_promo,8300
0,4436,2021-01-23 15:01:14,Transaction_promo,3900
0,4723,2021-01-23 15:06:16,Transaction_promo,7400
0,5726,2021-01-23 16:10:24,Transaction_promo,10100
0,3047,2021-01-23 16:29:18,Transaction_promo,8500
0,9131,2021-01-23 15:08:17,Transaction_promo,1200
0,8039,2021-01-23 15:23:35,Transaction_promo,5200
